brand, generic, category
advair, fluticasone + salmeterol, steroid + bronchodilator
aleve, naproxen, analgesic (nsaid)
zyrtec, cetirizine, antihistamine (h1)
coreg, carvedilol, antihypertensive
crestor, rosuvastatin, cholesterol lowering
cymbalta, duloxetine, antidepressant (snri)
desyrel, trazodone, antidepressant
diflucan, fluconazole, antifungal
diovan, valsartan, antihypertensive
effexor, venlafaxine, antidepressant (snri)
elavil, amitriptyline, antidepressant
fosamax, alendronate, bone strengthener
klor-chon, potassium chloride, electrolyte
mevacor, lovastatin, cholesterol lowering
mobic, meloxicam, analgesic (nsaid)
paxil, paroxetine, antidepressant (ssri)
valium, diazepam, antianxiety (c-iv)
vibramycin, doxycycline, antibiotic
minipress, prazosin, antihypertensive
bystolic, nebivolol, antihypertensive
