brand, generic, category
actonel, risedronate, bone strengthener
avalide, irbesartan + hctz, antihypertensive diuretic combo
bentyl, dicyclomine, antispasmodic (intestinal)
biaxin, clarithromycin, antibiotic
chantix, varenicline, smoking cessation
evista, raloxifene, estrogen modulator
humalog, insulin lispro, insulin (short acting)
tresiba, insulin degludec, insulin (long acting)
namenda, memantine, anti-alzheimers
nitrostat, nitroglycerine, anti-angina
novolog, insulin aspart, insulin
trulicity, dulaglutide, antidiabetic (increases insulin secretion from pancreas)
relafen, nabumetone, analgesic (nsaid)
requip, ropinirole, anti-Parkinsons
robaxin, methocarbamol, muscle relaxer
temovate, clobetasol, anti-inflammatory steroid
zanaflex, tizanidine, muscle relaxer
zebeta, bisoprolol, antihypertensive
zofran, odansetron, anti-nausea
zyprexa, olanzapine, antipsychotic
