brand, generic, category
aldactone, spironolactone, diuretic/ antihypertensive
altace, ramipril, antihypertensive
amaryl, glimepiride, antidiabetic
concerta, methylphenidate, adhd (c-ii)
cozaar, losartan, antihypertensive
xyzal, levocetirizine, antihistamine
folvite, folic acid, mineral supplement
imdur, isosorbide mononitrate, anti-angina (chest pain)
lanoxin, digoxin, treats heart failure/ arrhythmia
lyrica, pregabalin, anticonvulsant/ anti nerve pain (c-v)
nasacort, triamcinolone, anti-inflammatory steroid
pristiq, desvenlafaxine, antidepressant
omnicef, cefdinir, antibiotic
levemir, insulin detemir, insulin - antidiabetic
xarelto, rivaroxaban, anticoagulant
restoril, temazepam, sleep aid (c-iv)
tamiflu, oseltamivir, antiviral (flu)
valtrex, valacyclovir, antiviral
trandate, labetalol, antihypertensive
zetia, ezetimibe, cholesterol lowering
