brand, generic, category
actos, pioglitazone, antidiabetic
catapres, clonidine, antihypertensive/ sleep aid
celebrex, celecoxib, analgesic (nsaid)
flomax, tamsulosin, reduces enlarged prostate
lantus, insulin glargine, insulin
levaquin, levofloxacin, antibiotic
medrol, methylprednisone, anti-inflammatory steroid
oxycontin, oxycodone, analgesic (C-II)
phenergan, promethazine, antinausea/ anti-emetic
prevacid, lansoprazole, antacid (ppi)
edarbi, azilsartan, antihypertensive
seroquel, quetiapine, antipsychotic
soma, carisoprodol, muscle relaxer (C-IV)
tricor, fenofibrate, cholesterol lowering
tylenol 3, codeine + apap, analgesic (C-II)
vasotech, enalapril, antihypertensive
viagra, sildenafil, erectile dysfunction
focalin, dexmethylphenidate, adhd (C-II)
yaz, ethinyl estradiol + drospirenone, birth control
zyloprim, allopurinol, antigout
