brand, generic, category
ambien, zolpidem, sleep aid (C-IV)
amoxil, amoxicillin, antibiotic
augmentin, amoxicillin + clavulanate, antibiotic
glucophage, metformin, antidiabetic
lasix, furosemide, diuretic/ antihypertensive
lipitor, atorvastatin, cholesterol lowering
lopressor, metoprolol, antihypertensive
microzide, hydrochlorothiazide (hctz), diuretic/ antihypertensive
nexium, esomeprazole, antacid (ppi)
norvasc, amlodipine, antihypertensive
percocet, oxycodone + APAP, analgesic (C-II)
prilosec, omeprazole, antacid (ppi)
prinivil/ zestril, lisinopril, antihypertensive
synthroid, levothyroxine, thyroid hormone replacement
tenormin, atenolol, antihypertensive
vicodine/ lortab, hydrocodone + APAP, analgesic (C-II)
xanax, alprazolam, antianxiety (C-IV)
zithromax, azithromycin, antibiotic
zocor, simvastatin, cholesterol lowering
zoloft, sertraline, antidepressant (SSRI)
