brand, generic, category
accupril, quinapril, antihypertensive
aciphex, rabeprazole, antacid (ppi)
avapro, irbesartan, antihypertensive
bactroban, mupirocin, topical antibacterial
boniva, ibandronate, bone strengthener
combivent, albuterol + ipratopium, bronchodilator/ anti-mucus
duragesic, fentanyl transdermal patch, analgesic (c-ii)
myrbetric, mirabegron, overactive bladder
fioricet, butalbital + apap + caffeine, antimigraine
glycolax, polyethylene glycol, laxative
hytrin, terazosin, antihypertensive
imitrex, sumatriptan, antimigraine
tenex, guanfacine, antihypertensive
tegratol, carbamazepine, anticonvulsant
tapazole, methimazole, anti thyroid hormone
pepcid, famotidine, antacid
procardia, nifedipine, anti-arrhythmia
proscar, finasteride, reduces enlarged prostate
rheumatrex, methotrexate, antirheumatic
tessalon perles, benzonatate, cough suppressant
