brand, generic, category
antivert, meclizine, antivertigo
buspar, buspirone, antianxiety
cardizem, diltiazem, antihypertensive
cardura, doxazosin, reduces enlarged prostate
depakote, divalproex, anticonvulsant
detrol, tolterodine, urinary antispasmodic
furadantin, nitrofurantoin, antibiotic
hyzaar, losartan + HCTZ, antihypertensive diuretic combo
inderal, propanolol, antihypertensive
januvia, sitagliptin, antidiabetic
mirapex, pramipexole, anti-tremor (Parkinsons Disease)
eliquis, apixaban, anticoagulant
remeron, mirtazapine, antidepressant
robitussin, guaifenesin, anti-mucus (expectorant)
suboxone, buprenorphine, Opiod Recovery (C-III)
topamax, topiramate, anticonvulsant
vyvanse, lisdexamfetamine, adhd (c-ii)
wellbutrin, buproprion, antidepressant
xalatan, latanoprost, antiglaucoma
zovirax, acyclovir, antiviral
